longitude,latitude,SOC,Slope,Biomass,Precipitation,TPI,Temperature,NPP,SolarRadiation,WindSpeed,SinAspect,CosAspect,hex_id,foldID
-2293167.33,2033562.356,0.83,-0.012222015,1.031306248,0.644767094,0.174695735,0.726900532,3.199712809,0.230072998,0.989414267,0.748498343,-1.160159486,86,4
1353166.35,1004906.213,1.006666667,-0.597485844,1.303373971,1.200625919,0.069917199,1.851100063,3.197043222,0.181016504,1.198400603,-1.439715003,-0.072413254,4926,4
-2185886.564,2723602.673,3.578333333,-0.291732124,2.745066671,2.336201313,-0.146698281,0.013301935,3.173684984,-1.731477978,1.971605432,-1.343086564,0.540600465,292,2
-2241540.968,1931123.066,1.114,0.774477149,0.915033951,-0.36957426,-0.342218142,0.862516141,3.164130473,0.31773559,-0.107172275,0.594457116,1.2913915,151,5
-2273482.18,2507463.835,4.486666667,1.306162614,4.432759182,3.350252231,-3.668937069,0.396711982,3.152363451,-1.040416129,2.39283512,-0.832845563,1.17674843,125,1
-2272379.472,2556943.691,5.406666667,1.899538786,-0.199895419,3.26708346,2.228186459,0.03784814,3.148025482,-1.297293031,2.795813416,0.995106596,-0.962669262,158,3
-2193186.331,2713207.263,13.23333333,0.001193699,4.830068823,2.530853111,1.477258397,-0.071921085,3.140438215,-1.786941642,2.627217657,0.919495965,1.079760767,226,2
-2302296.839,2031095.547,1.733333333,0.828944541,-0.563946717,0.573581202,-0.761466752,0.504618958,3.137838945,0.287530828,1.360314175,0.814058328,1.162711139,86,4
717940.3038,865528.2029,1.093666667,-0.494641414,1.690511367,2.138712342,-0.002431207,1.808405632,3.116693217,0.159958267,0.237962235,-1.431453309,0.202102068,4066,4
717619.2924,865874.4107,0.56,-0.494641414,1.690511367,2.138712342,-0.002431207,1.808405632,3.116693217,0.159958267,0.237962235,-1.431453309,0.202102068,4066,4
1378182.264,1037565.548,0.839666667,-0.552418581,2.595459256,1.105571453,0.057608831,1.918005338,3.105259789,-0.014270526,1.099044447,-0.131006772,-1.377847068,4926,4
-2286388.495,1909121.344,2.722,1.551193292,0.667319421,-0.188328509,1.203595064,0.515427671,3.100061258,0.312585472,0.726185695,-1.440935456,-0.052730216,118,1
-2287537.934,1927092.733,2.376666667,1.585000971,1.321372884,-0.264461268,-1.752604349,0.45412282,3.096742069,0.184794923,-0.113286465,-1.142007633,-0.841012501,151,5
711352.6428,876812.3711,1.128333333,-0.47424926,1.704343373,2.086982661,0.163944197,1.802235179,3.065339483,0.21221996,-0.231951536,-0.379936453,-1.336356594,4066,4
825822.8203,870567.8028,0.621333333,-0.365641302,1.841778645,2.23315678,0.420241171,1.873717437,3.025261383,0.0952625,0.763487415,1.281876094,0.593249,4198,1
-2285319.306,1912959.518,3.366666667,0.972672352,-0.577602699,-0.175841948,0.989088107,0.51128653,3.011878291,0.394230848,0.726185695,0.506472199,1.329363145,118,1
-2159689.78,2732015.001,6.65,2.252677181,3.482625115,2.967874693,1.637729299,0.005432421,2.98149449,-1.633127624,1.004579791,1.367599409,-0.293271664,292,2
-2242975.995,2574897.781,5.094666667,0.0580618,3.892502501,2.098902787,0.15749533,0.228899191,2.935058435,-1.147044291,0.349424206,1.370269063,0.328251786,192,5
840623.8519,876237.7701,0.63,-0.391505976,0.743318683,2.214666563,-0.095013233,1.92921599,2.904991072,0.095193068,0.309043344,-1.381155891,-0.38651742,4231,1
1228663.305,852621.9229,1.433,-0.598704653,1.000297201,1.325606204,0.013091185,2.03012453,2.89104585,0.352744918,-0.558957595,-0.753932081,1.227254247,4726,1
265837.1306,832169.151,0.955,-0.600454887,-0.101745959,1.789481252,0.043118034,1.911852856,2.86364807,0.170424006,-0.496668485,0.571805625,-1.255234064,3472,1
265865.3317,832108.2995,0.7,-0.600454887,-0.101745959,1.789481252,0.043118034,1.911852856,2.86364807,0.170424006,-0.496668485,0.571805625,-1.255234064,3472,1
